item_id,item_name,category,household_id,quantity,min_stock_level,mean_daily_usage,daily_usage_variance,refill_lead_time_days,target_label
ITM011,Cereal,Pantry,HH008,0.15,0.24,0.106,0.039,1,1
ITM001,Milk,Dairy,HH016,2.45,1.79,0.446,0.347,3,1
ITM012,Cooking Oil,Pantry,HH020,0.77,0.16,0.029,0.018,4,0
ITM014,Orange Juice,Beverages,HH003,0.73,0.71,0.342,0.157,3,1
ITM015,Butter,Dairy,HH015,0.57,0.17,0.058,0.03,3,0
ITM013,Frozen Peas,Frozen,HH014,3.36,0.5,0.218,0.053,5,0
ITM004,Rice,Grains,HH013,0.65,0.53,0.228,0.118,2,1
ITM006,Chicken Breast,Meat,HH006,4.22,0.65,0.252,0.107,1,0
ITM015,Butter,Dairy,HH013,0.18,0.27,0.077,0.05,3,1
ITM009,Cheese,Dairy,HH015,0.62,0.28,0.069,0.024,4,1
ITM005,Ice Cream,Frozen,HH007,2.19,0.76,0.242,0.153,2,1
ITM004,Rice,Grains,HH012,1.33,0.53,0.114,0.059,4,1
ITM013,Frozen Peas,Frozen,HH015,2.89,0.6,0.064,0.013,1,0
ITM005,Ice Cream,Frozen,HH005,4.12,0.6,0.131,0.045,2,0
ITM008,Yogurt,Dairy,HH016,2.64,1.02,0.372,0.238,2,1
ITM015,Butter,Dairy,HH009,0.82,0.2,0.109,0.036,2,0
ITM015,Butter,Dairy,HH019,0.48,0.19,0.123,0.033,4,1
ITM009,Cheese,Dairy,HH018,0.79,0.28,0.128,0.044,4,1
ITM009,Cheese,Dairy,HH017,1.64,0.31,0.077,0.016,2,0
ITM014,Orange Juice,Beverages,HH016,3.45,0.7,0.188,0.055,2,0
ITM008,Yogurt,Dairy,HH005,8.3,1.2,0.338,0.105,1,0
ITM001,Milk,Dairy,HH013,12.28,1.82,0.604,0.365,5,0
ITM013,Frozen Peas,Frozen,HH020,1.56,0.54,0.083,0.06,5,0
ITM012,Cooking Oil,Pantry,HH020,0.43,0.19,0.034,0.027,4,0
ITM010,Bananas,Produce,HH019,3.4,1.08,0.397,0.091,3,1
ITM006,Chicken Breast,Meat,HH006,2.16,0.73,0.274,0.079,5,1
ITM011,Cereal,Pantry,HH005,1.24,0.35,0.065,0.034,1,0
ITM001,Milk,Dairy,HH018,3.06,1.22,0.916,0.52,4,1
ITM013,Frozen Peas,Frozen,HH004,1.76,0.58,0.171,0.026,1,0
ITM001,Milk,Dairy,HH013,8.69,1.43,0.541,0.358,4,0
ITM014,Orange Juice,Beverages,HH010,6.71,1.11,0.207,0.034,1,0
ITM015,Butter,Dairy,HH002,1.8,0.27,0.062,0.021,3,0
ITM015,Butter,Dairy,HH020,0.66,0.17,0.041,0.022,4,0
ITM005,Ice Cream,Frozen,HH016,3.77,0.62,0.119,0.044,3,0
ITM002,Eggs,Dairy,HH012,6.66,0.99,0.453,0.266,2,0
ITM014,Orange Juice,Beverages,HH018,2.08,0.85,0.455,0.177,2,1
ITM005,Ice Cream,Frozen,HH006,0.95,0.67,0.163,0.017,2,1
ITM015,Butter,Dairy,HH003,1.51,0.32,0.102,0.05,5,0
ITM003,Bread,Bakery,HH002,7.52,1.44,0.464,0.079,2,0
ITM013,Frozen Peas,Frozen,HH011,1.16,0.37,0.147,0.083,2,1
ITM015,Butter,Dairy,HH018,0.7,0.26,0.089,0.062,1,0
ITM004,Rice,Grains,HH006,2.82,0.51,0.095,0.065,2,0
ITM005,Ice Cream,Frozen,HH009,2.85,0.68,0.252,0.135,2,0
ITM006,Chicken Breast,Meat,HH019,3.5,1.08,0.542,0.38,1,1
ITM010,Bananas,Produce,HH003,7.35,1.2,0.449,0.323,1,0
ITM009,Cheese,Dairy,HH020,1.11,0.25,0.052,0.017,1,0
ITM002,Eggs,Dairy,HH015,7.44,1.12,0.284,0.144,5,0
ITM007,Tomatoes,Produce,HH015,1.07,0.71,0.224,0.138,3,1
ITM004,Rice,Grains,HH001,1.45,0.45,0.098,0.071,4,0
ITM003,Bread,Bakery,HH015,2.05,1.72,0.28,0.194,1,1
ITM014,Orange Juice,Beverages,HH002,4.16,1.12,0.354,0.123,1,0
ITM015,Butter,Dairy,HH016,0.46,0.26,0.055,0.007,4,1
ITM013,Frozen Peas,Frozen,HH006,3.1,0.45,0.15,0.057,1,0
ITM009,Cheese,Dairy,HH007,0.97,0.37,0.128,0.031,3,1
ITM002,Eggs,Dairy,HH013,7.36,1.13,0.593,0.364,4,0
ITM011,Cereal,Pantry,HH019,1.12,0.22,0.119,0.052,1,0
ITM014,Orange Juice,Beverages,HH016,2.14,0.81,0.258,0.056,1,1
ITM010,Bananas,Produce,HH015,5.6,0.96,0.204,0.111,4,0
ITM004,Rice,Grains,HH001,1.58,0.33,0.107,0.017,3,0
ITM014,Orange Juice,Beverages,HH016,4.14,0.71,0.246,0.094,3,0
ITM011,Cereal,Pantry,HH003,1.16,0.21,0.153,0.081,5,1
ITM012,Cooking Oil,Pantry,HH013,0.11,0.19,0.061,0.043,1,1
ITM009,Cheese,Dairy,HH014,1.7,0.25,0.102,0.055,2,0
ITM001,Milk,Dairy,HH006,11.67,2.0,0.442,0.1,4,0
ITM003,Bread,Bakery,HH004,1.7,1.75,0.86,0.402,1,1
ITM010,Bananas,Produce,HH005,7.92,1.22,0.218,0.141,3,0
ITM002,Eggs,Dairy,HH012,3.9,0.83,0.509,0.073,4,1
ITM006,Chicken Breast,Meat,HH008,0.72,0.79,0.413,0.23,1,1
ITM011,Cereal,Pantry,HH004,1.59,0.31,0.122,0.088,5,0
ITM003,Bread,Bakery,HH011,11.82,1.92,0.394,0.041,3,0
ITM015,Butter,Dairy,HH012,1.22,0.29,0.081,0.026,5,0
ITM007,Tomatoes,Produce,HH015,7.14,1.38,0.224,0.094,4,0
ITM014,Orange Juice,Beverages,HH005,2.96,0.73,0.152,0.086,3,0
ITM006,Chicken Breast,Meat,HH018,2.62,0.73,0.257,0.085,4,0
ITM003,Bread,Bakery,HH013,2.33,1.2,0.71,0.41,2,1
ITM010,Bananas,Produce,HH002,2.05,1.48,0.32,0.252,5,1
ITM010,Bananas,Produce,HH015,1.89,1.28,0.183,0.057,4,1
ITM014,Orange Juice,Beverages,HH011,3.39,0.83,0.27,0.036,5,0
ITM015,Butter,Dairy,HH019,0.38,0.18,0.081,0.013,1,1
ITM004,Rice,Grains,HH016,2.22,0.46,0.094,0.055,2,0
ITM015,Butter,Dairy,HH010,0.56,0.22,0.047,0.03,3,1
ITM008,Yogurt,Dairy,HH004,7.8,1.34,0.72,0.205,1,0
ITM002,Eggs,Dairy,HH002,0.78,1.36,0.475,0.14,5,1
ITM003,Bread,Bakery,HH012,4.58,1.29,0.604,0.105,3,1
ITM008,Yogurt,Dairy,HH014,6.76,1.16,0.493,0.296,5,0
ITM013,Frozen Peas,Frozen,HH013,2.55,0.5,0.228,0.064,4,0
ITM009,Cheese,Dairy,HH020,0.35,0.28,0.057,0.009,4,1
ITM002,Eggs,Dairy,HH020,5.61,1.39,0.292,0.208,3,0
ITM012,Cooking Oil,Pantry,HH009,0.85,0.18,0.066,0.03,3,0
ITM009,Cheese,Dairy,HH003,1.73,0.26,0.145,0.068,4,0
ITM009,Cheese,Dairy,HH008,0.26,0.2,0.095,0.058,1,1
ITM001,Milk,Dairy,HH007,2.21,2.32,0.551,0.206,3,1
ITM012,Cooking Oil,Pantry,HH020,0.54,0.18,0.037,0.016,5,0
ITM010,Bananas,Produce,HH020,1.33,0.91,0.289,0.205,1,1
ITM003,Bread,Bakery,HH006,2.35,1.39,0.281,0.193,2,1
ITM003,Bread,Bakery,HH011,1.16,1.65,0.407,0.253,2,1
ITM004,Rice,Grains,HH006,2.51,0.4,0.132,0.093,3,0
ITM006,Chicken Breast,Meat,HH020,1.78,1.09,0.128,0.03,5,1
ITM009,Cheese,Dairy,HH012,1.91,0.31,0.083,0.016,4,0
ITM007,Tomatoes,Produce,HH016,0.62,0.73,0.292,0.17,3,1
ITM013,Frozen Peas,Frozen,HH009,1.69,0.38,0.26,0.103,1,1
ITM011,Cereal,Pantry,HH019,0.56,0.23,0.154,0.098,3,1
ITM002,Eggs,Dairy,HH004,2.28,0.84,0.714,0.293,4,1
ITM005,Ice Cream,Frozen,HH016,3.09,0.55,0.185,0.093,5,0
ITM003,Bread,Bakery,HH004,4.4,1.28,0.592,0.431,5,1
ITM003,Bread,Bakery,HH015,7.78,1.25,0.237,0.029,1,0
ITM014,Orange Juice,Beverages,HH012,6.28,1.17,0.355,0.107,4,0
ITM008,Yogurt,Dairy,HH019,5.47,1.37,0.631,0.375,2,1
ITM002,Eggs,Dairy,HH019,2.18,1.16,0.634,0.177,4,1
ITM004,Rice,Grains,HH003,1.39,0.49,0.194,0.119,3,1
ITM002,Eggs,Dairy,HH011,1.82,1.55,0.414,0.08,2,1
ITM001,Milk,Dairy,HH015,6.49,1.54,0.334,0.264,3,0
ITM005,Ice Cream,Frozen,HH012,2.21,0.7,0.211,0.165,2,0
ITM005,Ice Cream,Frozen,HH016,0.43,0.46,0.131,0.038,3,1
ITM010,Bananas,Produce,HH004,4.46,1.29,0.476,0.126,2,0
ITM003,Bread,Bakery,HH005,7.66,1.59,0.297,0.196,2,0
ITM012,Cooking Oil,Pantry,HH014,0.56,0.17,0.075,0.046,5,1
ITM013,Frozen Peas,Frozen,HH011,2.18,0.38,0.138,0.105,4,0
ITM002,Eggs,Dairy,HH014,4.21,0.88,0.682,0.244,4,0
ITM004,Rice,Grains,HH018,0.3,0.49,0.129,0.078,5,1
ITM014,Orange Juice,Beverages,HH005,2.16,1.02,0.179,0.067,1,1
ITM006,Chicken Breast,Meat,HH007,2.76,0.76,0.342,0.035,2,1
ITM008,Yogurt,Dairy,HH004,6.29,1.01,0.611,0.164,3,0
ITM003,Bread,Bakery,HH019,4.0,1.75,0.678,0.097,1,1
ITM002,Eggs,Dairy,HH019,7.19,1.52,0.501,0.381,2,0
ITM015,Butter,Dairy,HH016,0.22,0.27,0.061,0.018,4,1
ITM010,Bananas,Produce,HH010,1.62,1.11,0.223,0.079,4,1
ITM012,Cooking Oil,Pantry,HH017,0.64,0.14,0.039,0.016,5,0
ITM013,Frozen Peas,Frozen,HH002,0.49,0.43,0.118,0.023,1,1
ITM012,Cooking Oil,Pantry,HH006,0.27,0.15,0.045,0.034,1,1
ITM007,Tomatoes,Produce,HH013,4.92,0.83,0.335,0.053,5,0
ITM015,Butter,Dairy,HH010,0.15,0.26,0.046,0.006,4,1
ITM012,Cooking Oil,Pantry,HH004,0.36,0.19,0.068,0.049,5,1
ITM011,Cereal,Pantry,HH012,1.04,0.33,0.101,0.019,2,1
ITM003,Bread,Bakery,HH013,3.27,1.95,0.501,0.082,3,1
ITM005,Ice Cream,Frozen,HH008,0.86,0.53,0.288,0.195,2,1
ITM003,Bread,Bakery,HH009,2.51,1.01,0.569,0.361,3,1
ITM007,Tomatoes,Produce,HH008,3.78,1.03,0.528,0.221,1,1
ITM007,Tomatoes,Produce,HH016,5.02,0.81,0.359,0.276,2,0
ITM015,Butter,Dairy,HH020,0.73,0.25,0.059,0.016,3,0
ITM004,Rice,Grains,HH007,0.68,0.37,0.17,0.129,2,1
ITM010,Bananas,Produce,HH013,4.72,0.86,0.366,0.203,2,0
ITM002,Eggs,Dairy,HH006,3.37,0.94,0.38,0.189,2,1
ITM015,Butter,Dairy,HH019,0.56,0.21,0.127,0.021,2,1
ITM012,Cooking Oil,Pantry,HH008,0.48,0.11,0.054,0.016,4,1
ITM008,Yogurt,Dairy,HH012,2.27,1.04,0.587,0.207,4,1
ITM005,Ice Cream,Frozen,HH019,1.8,0.78,0.334,0.154,3,1
ITM009,Cheese,Dairy,HH018,2.18,0.39,0.118,0.082,4,0
ITM007,Tomatoes,Produce,HH001,5.39,1.16,0.206,0.141,3,0
ITM002,Eggs,Dairy,HH012,5.8,1.59,0.396,0.276,4,0
ITM001,Milk,Dairy,HH005,5.3,2.27,0.446,0.211,5,1
ITM014,Orange Juice,Beverages,HH018,0.62,0.89,0.316,0.222,5,1
ITM012,Cooking Oil,Pantry,HH017,0.19,0.14,0.041,0.029,4,1
ITM003,Bread,Bakery,HH013,4.47,1.1,0.433,0.121,5,1
ITM009,Cheese,Dairy,HH017,0.55,0.38,0.086,0.059,1,1
ITM011,Cereal,Pantry,HH007,1.04,0.3,0.09,0.037,3,1
ITM007,Tomatoes,Produce,HH020,4.89,0.98,0.216,0.169,1,0
ITM001,Milk,Dairy,HH002,12.11,1.89,0.647,0.334,4,0
ITM012,Cooking Oil,Pantry,HH012,0.42,0.17,0.064,0.025,2,1
ITM005,Ice Cream,Frozen,HH016,2.65,0.78,0.133,0.082,1,0
ITM014,Orange Juice,Beverages,HH005,7.89,1.14,0.145,0.028,4,0
ITM003,Bread,Bakery,HH012,4.92,1.67,0.366,0.193,3,1
ITM001,Milk,Dairy,HH003,1.39,1.58,0.657,0.414,4,1
ITM012,Cooking Oil,Pantry,HH004,1.17,0.2,0.049,0.026,1,0
ITM011,Cereal,Pantry,HH010,1.09,0.21,0.076,0.054,4,0
ITM001,Milk,Dairy,HH017,7.54,1.2,0.466,0.369,2,0
ITM003,Bread,Bakery,HH008,4.76,1.79,0.441,0.102,4,0
ITM011,Cereal,Pantry,HH004,1.47,0.32,0.15,0.046,1,0
ITM008,Yogurt,Dairy,HH017,7.29,1.62,0.509,0.116,4,0
ITM011,Cereal,Pantry,HH015,1.64,0.26,0.054,0.036,2,0
ITM012,Cooking Oil,Pantry,HH013,0.55,0.11,0.057,0.023,4,1
ITM008,Yogurt,Dairy,HH016,6.87,1.4,0.469,0.32,5,0
ITM003,Bread,Bakery,HH006,1.07,1.28,0.419,0.295,1,1
ITM005,Ice Cream,Frozen,HH011,2.42,0.71,0.186,0.047,2,0
ITM007,Tomatoes,Produce,HH009,5.7,1.4,0.544,0.405,1,0
ITM003,Bread,Bakery,HH008,6.21,1.39,0.497,0.366,1,0
ITM010,Bananas,Produce,HH020,7.21,1.31,0.217,0.055,1,0
ITM007,Tomatoes,Produce,HH018,1.01,0.95,0.494,0.204,3,1
ITM013,Frozen Peas,Frozen,HH010,3.71,0.57,0.093,0.061,4,0
ITM002,Eggs,Dairy,HH009,7.38,1.37,0.655,0.447,5,0
ITM005,Ice Cream,Frozen,HH011,0.46,0.56,0.174,0.1,2,1
ITM008,Yogurt,Dairy,HH019,3.8,1.1,0.825,0.214,3,1
ITM007,Tomatoes,Produce,HH018,3.38,0.74,0.483,0.135,4,1
ITM006,Chicken Breast,Meat,HH010,4.94,1.16,0.175,0.073,3,0
ITM007,Tomatoes,Produce,HH006,4.57,1.11,0.359,0.05,3,0
ITM007,Tomatoes,Produce,HH001,0.89,1.14,0.349,0.261,4,1
ITM004,Rice,Grains,HH005,2.03,0.4,0.08,0.03,3,0
ITM011,Cereal,Pantry,HH015,0.7,0.2,0.043,0.014,2,0
ITM012,Cooking Oil,Pantry,HH019,0.99,0.15,0.086,0.066,1,0
ITM002,Eggs,Dairy,HH012,3.94,1.59,0.292,0.177,5,0
ITM010,Bananas,Produce,HH019,4.21,1.39,0.702,0.394,2,1
ITM008,Yogurt,Dairy,HH019,6.33,1.39,0.584,0.251,2,0
ITM005,Ice Cream,Frozen,HH006,2.4,0.72,0.158,0.07,4,0
ITM011,Cereal,Pantry,HH011,1.27,0.36,0.072,0.034,3,0
ITM005,Ice Cream,Frozen,HH008,2.79,0.57,0.191,0.052,5,0
ITM006,Chicken Breast,Meat,HH018,0.75,0.67,0.33,0.207,2,1
ITM015,Butter,Dairy,HH012,1.12,0.18,0.072,0.017,5,0
ITM006,Chicken Breast,Meat,HH001,0.82,0.63,0.188,0.076,2,1
ITM008,Yogurt,Dairy,HH009,9.45,1.4,0.629,0.081,3,0
ITM007,Tomatoes,Produce,HH014,3.99,1.29,0.383,0.154,3,0
ITM004,Rice,Grains,HH007,0.62,0.59,0.151,0.056,3,1
ITM012,Cooking Oil,Pantry,HH015,0.63,0.17,0.032,0.005,1,0
ITM003,Bread,Bakery,HH007,8.18,1.54,0.548,0.232,2,0
ITM015,Butter,Dairy,HH005,0.87,0.16,0.044,0.022,4,0
ITM015,Butter,Dairy,HH018,1.21,0.25,0.079,0.039,5,0
ITM012,Cooking Oil,Pantry,HH017,0.76,0.2,0.041,0.029,3,0
ITM001,Milk,Dairy,HH006,0.68,1.21,0.618,0.399,5,1
ITM006,Chicken Breast,Meat,HH009,4.29,1.14,0.501,0.063,5,1
ITM004,Rice,Grains,HH019,1.65,0.43,0.25,0.167,3,1
ITM005,Ice Cream,Frozen,HH008,1.45,0.7,0.264,0.043,4,1
ITM008,Yogurt,Dairy,HH003,3.05,1.95,0.446,0.279,2,1
ITM010,Bananas,Produce,HH015,4.89,1.17,0.278,0.098,4,0
ITM014,Orange Juice,Beverages,HH010,3.35,0.8,0.136,0.103,4,0
ITM001,Milk,Dairy,HH017,5.62,1.71,0.763,0.552,5,1
ITM003,Bread,Bakery,HH010,4.77,1.83,0.264,0.031,1,0
ITM001,Milk,Dairy,HH016,6.1,1.47,0.561,0.123,4,0
ITM003,Bread,Bakery,HH001,3.55,1.15,0.377,0.125,1,1
ITM007,Tomatoes,Produce,HH009,7.82,1.25,0.573,0.329,5,0
ITM003,Bread,Bakery,HH011,6.01,2.0,0.381,0.11,2,0
ITM005,Ice Cream,Frozen,HH014,1.62,0.7,0.247,0.051,5,1
ITM012,Cooking Oil,Pantry,HH002,0.81,0.12,0.065,0.022,2,0
ITM008,Yogurt,Dairy,HH002,3.86,1.87,0.423,0.293,1,1
ITM010,Bananas,Produce,HH004,2.06,1.04,0.449,0.313,5,1
ITM014,Orange Juice,Beverages,HH012,4.31,0.63,0.267,0.133,5,0
ITM009,Cheese,Dairy,HH005,1.27,0.32,0.047,0.028,4,0
ITM005,Ice Cream,Frozen,HH001,2.79,0.55,0.159,0.045,1,0
ITM015,Butter,Dairy,HH003,1.98,0.32,0.119,0.085,1,0
ITM013,Frozen Peas,Frozen,HH008,2.75,0.52,0.172,0.069,2,0
ITM005,Ice Cream,Frozen,HH017,2.34,0.4,0.144,0.028,1,0
ITM004,Rice,Grains,HH014,2.49,0.36,0.174,0.039,2,0
ITM004,Rice,Grains,HH011,0.67,0.3,0.148,0.041,3,1
ITM001,Milk,Dairy,HH006,8.8,1.48,0.393,0.139,2,0
ITM003,Bread,Bakery,HH017,4.53,1.59,0.352,0.157,1,0
ITM009,Cheese,Dairy,HH004,1.85,0.34,0.133,0.067,4,0
ITM014,Orange Juice,Beverages,HH017,1.51,0.88,0.237,0.089,4,1
ITM009,Cheese,Dairy,HH002,1.49,0.24,0.076,0.05,4,0
ITM011,Cereal,Pantry,HH009,0.59,0.22,0.123,0.068,1,1
ITM014,Orange Juice,Beverages,HH001,5.67,0.82,0.223,0.036,4,0
ITM010,Bananas,Produce,HH004,1.73,1.3,0.655,0.452,4,1
ITM011,Cereal,Pantry,HH005,1.39,0.21,0.042,0.011,3,0
ITM008,Yogurt,Dairy,HH019,10.23,1.96,0.561,0.437,3,0
ITM007,Tomatoes,Produce,HH009,3.19,0.78,0.392,0.137,5,1
ITM014,Orange Juice,Beverages,HH008,5.67,0.88,0.363,0.047,5,0
ITM011,Cereal,Pantry,HH007,1.49,0.32,0.128,0.093,3,1
ITM009,Cheese,Dairy,HH018,1.92,0.37,0.109,0.029,5,0
ITM002,Eggs,Dairy,HH006,4.99,1.46,0.277,0.133,1,0
ITM001,Milk,Dairy,HH012,14.9,2.29,0.504,0.084,3,0
ITM010,Bananas,Produce,HH019,2.84,0.88,0.525,0.105,5,1
ITM014,Orange Juice,Beverages,HH015,5.0,1.03,0.209,0.098,1,0
ITM015,Butter,Dairy,HH002,1.4,0.22,0.062,0.039,1,0
ITM015,Butter,Dairy,HH001,1.59,0.26,0.072,0.033,3,0
ITM003,Bread,Bakery,HH003,3.49,1.95,0.438,0.093,2,1
ITM009,Cheese,Dairy,HH012,1.15,0.37,0.123,0.031,2,1
ITM007,Tomatoes,Produce,HH009,6.44,1.27,0.488,0.232,4,0
ITM011,Cereal,Pantry,HH011,1.63,0.32,0.058,0.042,4,0
ITM003,Bread,Bakery,HH020,2.41,1.04,0.217,0.088,1,1
ITM002,Eggs,Dairy,HH001,4.55,0.99,0.242,0.102,2,0
ITM011,Cereal,Pantry,HH002,2.11,0.39,0.106,0.056,3,0
ITM011,Cereal,Pantry,HH003,1.34,0.21,0.107,0.073,3,0
ITM007,Tomatoes,Produce,HH008,2.23,0.92,0.419,0.229,1,1
ITM007,Tomatoes,Produce,HH010,3.18,1.0,0.257,0.052,4,0
ITM005,Ice Cream,Frozen,HH016,0.93,0.72,0.124,0.099,5,1
ITM005,Ice Cream,Frozen,HH012,1.02,0.46,0.192,0.079,1,1
ITM015,Butter,Dairy,HH015,0.54,0.21,0.051,0.012,5,1
ITM003,Bread,Bakery,HH004,1.12,1.3,0.644,0.41,4,1
ITM001,Milk,Dairy,HH002,6.96,1.88,0.48,0.334,2,0
ITM007,Tomatoes,Produce,HH017,3.66,0.99,0.323,0.223,3,0
ITM014,Orange Juice,Beverages,HH004,3.85,0.85,0.488,0.107,4,1
ITM007,Tomatoes,Produce,HH007,2.74,1.1,0.443,0.343,5,1
ITM006,Chicken Breast,Meat,HH003,2.38,1.17,0.324,0.159,3,1
ITM008,Yogurt,Dairy,HH016,1.43,1.49,0.442,0.228,2,1
ITM004,Rice,Grains,HH006,2.92,0.43,0.133,0.1,4,0
ITM014,Orange Juice,Beverages,HH002,2.3,1.03,0.338,0.109,3,1
ITM009,Cheese,Dairy,HH017,0.95,0.33,0.086,0.063,4,0
ITM015,Butter,Dairy,HH009,0.25,0.25,0.107,0.062,4,1
ITM011,Cereal,Pantry,HH004,0.21,0.28,0.134,0.077,3,1
ITM015,Butter,Dairy,HH003,1.52,0.23,0.094,0.068,4,0
ITM011,Cereal,Pantry,HH002,0.26,0.21,0.076,0.028,4,1
ITM006,Chicken Breast,Meat,HH001,6.09,1.13,0.25,0.152,2,0
ITM005,Ice Cream,Frozen,HH007,1.6,0.51,0.141,0.02,4,0
ITM014,Orange Juice,Beverages,HH005,6.51,0.97,0.151,0.11,5,0
ITM009,Cheese,Dairy,HH006,1.05,0.24,0.093,0.015,5,0
ITM010,Bananas,Produce,HH011,8.13,1.41,0.346,0.137,4,0
ITM009,Cheese,Dairy,HH016,1.64,0.3,0.088,0.044,1,0
ITM011,Cereal,Pantry,HH011,1.46,0.28,0.092,0.027,5,0
ITM001,Milk,Dairy,HH009,9.26,2.0,0.85,0.422,5,1
ITM008,Yogurt,Dairy,HH019,10.04,1.82,0.549,0.434,5,0
ITM012,Cooking Oil,Pantry,HH005,0.6,0.13,0.035,0.025,2,0
ITM008,Yogurt,Dairy,HH011,3.67,1.57,0.483,0.345,4,1
ITM013,Frozen Peas,Frozen,HH007,0.56,0.45,0.143,0.03,1,1
ITM008,Yogurt,Dairy,HH014,1.88,1.84,0.865,0.201,2,1
ITM015,Butter,Dairy,HH018,0.23,0.29,0.103,0.068,1,1
ITM003,Bread,Bakery,HH014,1.5,1.57,0.781,0.599,1,1
ITM006,Chicken Breast,Meat,HH020,6.75,0.98,0.214,0.138,2,0
ITM012,Cooking Oil,Pantry,HH016,0.56,0.15,0.047,0.014,4,0
ITM006,Chicken Breast,Meat,HH009,4.62,0.83,0.392,0.08,3,0
ITM011,Cereal,Pantry,HH007,0.29,0.35,0.082,0.02,4,1
ITM013,Frozen Peas,Frozen,HH010,1.92,0.34,0.077,0.033,3,0
ITM004,Rice,Grains,HH020,1.8,0.43,0.106,0.036,5,0
ITM002,Eggs,Dairy,HH008,3.3,1.38,0.414,0.194,1,1
ITM011,Cereal,Pantry,HH001,0.38,0.2,0.073,0.016,4,1
ITM008,Yogurt,Dairy,HH008,6.4,1.92,0.521,0.08,2,0
ITM002,Eggs,Dairy,HH005,4.73,0.8,0.272,0.216,3,0
ITM003,Bread,Bakery,HH019,3.75,1.72,0.712,0.417,1,1
ITM014,Orange Juice,Beverages,HH020,4.03,1.18,0.171,0.094,5,0
ITM013,Frozen Peas,Frozen,HH007,2.66,0.41,0.155,0.06,1,0
ITM004,Rice,Grains,HH011,1.83,0.53,0.151,0.083,4,0
ITM002,Eggs,Dairy,HH014,4.53,1.08,0.703,0.297,1,1
ITM002,Eggs,Dairy,HH015,4.69,1.23,0.309,0.198,3,0
ITM013,Frozen Peas,Frozen,HH019,0.49,0.47,0.243,0.129,1,1
ITM007,Tomatoes,Produce,HH003,2.83,1.02,0.341,0.078,3,1
ITM013,Frozen Peas,Frozen,HH020,1.69,0.32,0.109,0.075,1,0
ITM009,Cheese,Dairy,HH015,1.62,0.24,0.046,0.014,2,0
ITM013,Frozen Peas,Frozen,HH015,1.84,0.36,0.08,0.036,2,0
ITM015,Butter,Dairy,HH018,0.25,0.3,0.091,0.06,5,1
ITM013,Frozen Peas,Frozen,HH013,2.46,0.46,0.201,0.055,2,0
ITM005,Ice Cream,Frozen,HH014,1.0,0.64,0.269,0.108,1,1
ITM003,Bread,Bakery,HH006,4.53,1.1,0.342,0.134,5,0
ITM005,Ice Cream,Frozen,HH010,0.44,0.53,0.137,0.073,5,1
ITM013,Frozen Peas,Frozen,HH016,1.33,0.53,0.115,0.079,3,1
ITM005,Ice Cream,Frozen,HH002,4.26,0.62,0.234,0.056,2,0
ITM004,Rice,Grains,HH015,3.94,0.58,0.065,0.01,1,0
ITM013,Frozen Peas,Frozen,HH005,1.52,0.48,0.075,0.051,4,0
ITM004,Rice,Grains,HH020,3.05,0.49,0.115,0.064,1,0
ITM007,Tomatoes,Produce,HH007,4.83,0.94,0.245,0.171,5,0
ITM015,Butter,Dairy,HH018,1.19,0.26,0.107,0.075,5,0
ITM010,Bananas,Produce,HH016,3.57,1.56,0.311,0.085,4,1
ITM013,Frozen Peas,Frozen,HH001,0.83,0.51,0.103,0.021,5,1
ITM009,Cheese,Dairy,HH005,0.57,0.21,0.045,0.022,5,0
ITM003,Bread,Bakery,HH012,12.02,1.97,0.593,0.158,5,0
ITM013,Frozen Peas,Frozen,HH013,0.59,0.4,0.219,0.149,4,1
ITM003,Bread,Bakery,HH019,4.57,1.47,0.634,0.271,3,1
ITM001,Milk,Dairy,HH014,7.35,2.22,0.717,0.111,3,1
ITM013,Frozen Peas,Frozen,HH002,2.18,0.47,0.124,0.055,4,0
ITM004,Rice,Grains,HH013,2.43,0.47,0.192,0.133,4,0
ITM001,Milk,Dairy,HH007,2.19,1.55,0.779,0.089,1,1
ITM008,Yogurt,Dairy,HH008,5.91,1.2,0.428,0.197,4,0
ITM003,Bread,Bakery,HH019,7.01,1.76,0.733,0.475,4,1
ITM006,Chicken Breast,Meat,HH013,3.11,0.92,0.357,0.061,2,0
ITM013,Frozen Peas,Frozen,HH004,2.77,0.58,0.255,0.203,1,0
ITM015,Butter,Dairy,HH008,0.97,0.26,0.108,0.021,4,1
ITM007,Tomatoes,Produce,HH012,3.63,1.07,0.408,0.136,3,1
ITM014,Orange Juice,Beverages,HH011,3.57,0.78,0.284,0.178,5,0
ITM005,Ice Cream,Frozen,HH003,0.64,0.55,0.253,0.131,5,1
ITM012,Cooking Oil,Pantry,HH017,0.96,0.19,0.054,0.006,2,0
ITM002,Eggs,Dairy,HH002,1.73,1.35,0.42,0.328,2,1
ITM007,Tomatoes,Produce,HH004,1.03,1.07,0.551,0.086,4,1
ITM003,Bread,Bakery,HH004,1.19,1.37,0.636,0.096,5,1
ITM010,Bananas,Produce,HH010,9.46,1.5,0.269,0.186,4,0
ITM009,Cheese,Dairy,HH006,1.46,0.27,0.102,0.039,2,0
ITM007,Tomatoes,Produce,HH007,6.43,0.92,0.295,0.183,5,0
ITM014,Orange Juice,Beverages,HH019,4.07,0.83,0.516,0.123,4,1
ITM002,Eggs,Dairy,HH001,8.26,1.45,0.324,0.092,4,0
